PartNumber,Description,Cost,Price,OEM,Hollander
DCT99,GM 6.2L B: 766 H: 821 W.OIL COOLER CAMARO OIL PAN,650,1000,,.
DCTC-RND,"GM 4.8L Block - 4.8/5.3L III, Heads - 862, 706, (3-2) 5 bump, Crankshaft - 482, 4 Hole Ring or 5...",75,250,L4899GMC,5148 5348
DCTC-RND-LB,"GM 4.8L Block - 4.8/5.3L III, Heads - 862, 706, (3-2) 5 bump, Crankshaft - 482, 4 Hole Ring or 5...",75,250,L4899GMC,.
DCTC-SQ,"GM 4.8L Block - 4.8/5.3L III, Heads - 862, 706, (3-2) 5 bump  RIVET, Crankshaft - 482 5 Hole Rin...",100,250,L4805GMC,5248 5448 5748A/B/C 5848A/B
DCTC-SQ-LB,"GM 4.8L Block - 4.8/5.3L III, Heads - 862, 706, (3-2) 5 bump  RIVET, Crankshaft - 482 5 Hole Rin...",100,250,L4805GMC,.
DCTE,"GM 3.9L B:641,449,272,188,102 H:746,610 C/S: 366",75,150,,300-2039A/B/G
DCTF,GM 6.0L GEN III 317/035HEAD ROUND ROD W/TC&OP,300,450,L6001GMC,5660A/B/C
DCTJ,"GM 3.7L B;643, 811, 366 H: 8265D VVT 12575415 2007 COLO, CANY, H3",175,,,5337
DCTK,GM 6.0L GEN III 317/035 HEAD SQ ROD W/TC&OP,300,450,L6005GMC,5460A/B/C
DCTM,"GM 5.3L GEN III 2003-04 BL# 910 HD# 862,706",75,150,DCTM,5753
DCTT,"GM 2001-04 CORVETTE BL# 1261168,12560626 HD# 12559853,12564241 BAT WING OIL PAN",200,600,DCTT,5008A 5657
DCTX,"GM 5.7L LS1 B: 626, 168, 678 H:853, 241 01-02",150,400,,5008B
DCTY,"GM 3.5L B: 846 H:3261D VVT 12179011 2004-05 COLO, CANY",100,,,05135A
DCTZ,GM 3.5L B: 846 H:3261D VVT 12581569 2006 COLORADO,100,,,05135A 05135B
DCV4,"GM 5.7L LS1 1999-00 12560626, or 12559378 block, 12559853, 241, 863 heads",250,600,DCV4,300-05007A
DCV7,"GM 2.2 B: 035, 521 H: 146 RWD",75,150,L2299RWD,5015A/B 5004
DCVF,GM 2.8L BL# 840 HD# 4059 RELUCTOR# 182/012,100,175,,05528
DCVN,"GM 3.5L BL# 12577641 HD# 12590746, 12624610 C/S# 425",50,125,DCVN,5535 5635 2135 2235B/C/D/E
DCVQ,"GM 2007-2008 ACADIA,ENCLAVE,OUTLOOK BL-12601922 HD-12600045/041 FC-",150,300,DCVQ,05136
DCVW,"GM 3.6L B: 402 RH: 614, 771 LH: 609 2010-11 ACAD, ENCL, TRAV, CAMRO",115,,,10118 15136D/E
DCVW2,"GM 3.6L B: 402, 498 RH: 614, 771 LH: 609 2012-17 ACAD, ENC, TRAV",115,,DCVW2,10119 10120
